index,timestamp,direction,outcome,setup_score,passed_checks,chk_structure_aligned,chk_secondary_confirmation,chk_htf_aligned,chk_vwap_aligned,chk_ema_aligned,chk_rsi_not_extreme,chk_adx_trending,chk_volume_above_average,regime,htf_score,structure_type,cisd,fvg,order_block,sweep_kind,level_source,sweep_reaction,sweep_reaction_atr_ratio,bars_to_reclaim,rsi14,macd,adx,atr14,above_vwap,above_ema20,ema20_gt_ema50,volume,volume_ratio,probability,confidence,rr,risk_amount,reward_amount,time_bucket,day_of_week
601,2024-01-11T03:45:00+00:00,BULLISH,TIMEOUT,50.0,4,True,True,False,False,True,False,True,False,TRANSITION,0.121,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,107.04,3.6184043729147017,3,85.6,36.281,80.38,29.5821,,True,True,0.0,,0.4541,54.0,2.0,115.4582,230.9164,OPENING,Thursday
660,2024-01-11T08:40:00+00:00,BEARISH,TIMEOUT,50.0,4,True,True,False,False,True,False,True,False,RANGE,-0.022,BOS,False,True,False,UPPER_SWEEP,EQUAL_LOW,37.05,2.5857376156777354,3,18.43,-5.7006,70.52,14.3286,,False,True,0.0,,0.4541,50.7,2.0,67.9829,135.9657,MID,Thursday
675,2024-01-11T09:55:00+00:00,BULLISH,WIN,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.029,BOS,False,False,True,LOWER_SWEEP,EQUAL_HIGH,26.27,1.5011428571428571,3,77.92,-0.4592,43.86,17.5,,True,True,0.0,,0.5259,55.1,2.0,31.1,62.2,CLOSING,Thursday
710,2024-01-12T06:35:00+00:00,BEARISH,LOSS,37.5,3,True,True,False,False,False,True,False,False,TRANSITION,0.092,CHOCH,True,True,False,UPPER_SWEEP,EQUAL_LOW,23.525,1.9087221095334685,3,38.17,17.7974,2.23,12.325,,True,True,0.0,,0.3843,48.9,2.0,28.5325,57.065,MID,Friday
740,2024-01-12T09:05:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,False,True,False,TRANSITION,0.141,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,19.175,1.1377391180519296,3,80.48,18.6669,53.77,16.8536,,True,True,0.0,,0.4541,54.7,2.0,51.4854,102.9707,CLOSING,Friday
752,2024-01-15T03:50:00+00:00,BULLISH,TIMEOUT,75.0,6,True,True,True,False,True,True,True,False,BULLISH,0.28,CHOCH,True,True,False,LOWER_SWEEP,PDH,34.55,1.1134888457745433,3,76.55,33.2356,57.67,31.0286,,True,True,0.0,,0.5965,67.7,2.0,183.9529,367.9057,OPENING,Monday
789,2024-01-15T06:55:00+00:00,BULLISH,LOSS,62.5,5,True,True,True,False,True,True,False,False,BULLISH,0.204,CHOCH,True,False,False,LOWER_SWEEP,EQUAL_HIGH,14.3,0.9463492756788237,2,57.45,14.4456,12.94,15.1107,,True,True,0.0,,0.5259,59.2,2.0,16.2111,32.4221,MID,Monday
809,2024-01-15T08:35:00+00:00,BULLISH,TIMEOUT,62.5,5,True,True,True,False,True,True,False,False,BULLISH,0.198,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,36.07,2.3641452176363793,3,59.84,5.7892,0.93,15.2571,,True,True,0.0,,0.5259,60.8,2.0,55.3257,110.6514,MID,Monday
827,2024-01-16T03:50:00+00:00,BEARISH,TIMEOUT,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.145,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,50.38,2.3949761595763395,2,47.32,6.8554,14.39,21.0357,,False,True,0.0,,0.4541,54.8,2.0,61.3536,122.7071,OPENING,Tuesday
842,2024-01-16T05:05:00+00:00,BULLISH,TIMEOUT,75.0,6,True,True,True,False,True,True,True,False,BULLISH,0.18,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,22.6167,1.1284145507885586,3,68.11,7.0729,37.61,20.0429,,True,True,0.0,,0.5965,64.3,2.0,29.8543,59.7086,MID,Tuesday
856,2024-01-16T06:15:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,BULLISH,0.155,CHOCH,True,True,False,UPPER_SWEEP,EQUAL_HIGH,9.9333,0.7412910447761193,2,39.01,3.7734,31.48,13.4,,False,True,0.0,,0.5259,50.7,2.0,25.44,50.88,MID,Tuesday
872,2024-01-16T07:35:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.083,BOS,False,True,False,UPPER_SWEEP,EQUAL_HIGH,34.975,2.0682171642806035,3,25.3,-13.338,76.01,16.9107,,False,False,0.0,,0.5259,56.9,2.0,42.6911,85.3821,MID,Tuesday
898,2024-01-16T09:45:00+00:00,BEARISH,WIN,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.082,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,12.625,0.7530884081053191,3,41.78,-3.5722,7.39,16.7643,,False,False,0.0,,0.4541,44.5,2.0,22.4764,44.9529,CLOSING,Tuesday
